"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","chrom"
7837.6868093493,3.75295183662072,0.0828054911350777,45.32249957311,0,0,"Dgp-1","chr2R"
571333.564440138,-3.86587046095553,0.108972349325249,-35.4757008075241,1.16508534508649e-275,5.17472656020163e-272,"pre-rRNA:CR45856","chrX"
1542.63600384163,-5.53737897926424,0.159117283640098,-34.8006128095365,2.38088751860593e-265,7.04980794259217e-262,"CG1909","chr4"
1507.28252603653,4.1839850494167,0.122048425935505,34.2813519907884,1.48821847120528e-257,3.30496116992912e-254,"CG6330","chr3R"
631.638805639372,-3.14540107484587,0.126385565552924,-24.8873442238839,1.02006114614518e-136,1.81224063224153e-133,"CG42296","chr2L"
819.767691337521,3.56836050148688,0.145860850068948,24.4641416788681,3.55891065731327e-132,5.2689672281523e-129,"Dbx","chr3L"
355.511595347664,4.77316293488411,0.20966958671597,22.7651659434523,1.01548581589297e-114,1.28865150036818e-111,"blanks","chr3L"
1381.2496272249,-2.54767130837699,0.117174556824348,-21.7425299264934,8.12922095828011e-105,9.02648372155028e-102,"olf413","chr3L"
1702.42096414907,1.92289645684883,0.0911404479873684,21.0981677105135,8.26783134644596e-99,8.16034953894216e-96,"SLC5A11","chr2L"
7113.61576951885,-1.81795297487552,0.0862579229576852,-21.0757796216278,1.32702709175908e-98,1.17879816560959e-95,"lncRNA:CR46489","chr2R"
930.409997753942,2.70700217710701,0.129101844809846,20.9679589094498,1.28666683904136e-97,1.03904195738222e-94,"CG5758","chr2L"
16963.0367525056,-1.45236206825536,0.0700923007579604,-20.7207075891344,2.25349357468696e-95,1.66814861866202e-92,"CG12535","chrX"
882.216534174686,2.93859217188317,0.141964177851062,20.6995329129164,3.49743387537038e-95,2.38982347037808e-92,"nAChRalpha6","chr2L"
395.458291930539,-3.33334655692018,0.161488627060208,-20.6413703404476,1.1670647707579e-94,7.40502597045887e-92,"CG42540","chr3L"
712.081191450116,2.51778798561191,0.124277382795347,20.2594223420206,2.93384423080866e-91,1.73742255348489e-88,"CG5853","chr2L"
1617.7562265304,1.9574698501059,0.0969376461098859,20.1930821374284,1.12615173067516e-90,6.25225363974218e-88,"Tret1-1","chr2R"
682.448196379815,2.80487063739067,0.138972773834403,20.1828787035142,1.38444033472395e-90,7.23410793726637e-88,"CG14879","chr3R"
7081.77919822662,1.5413781771088,0.0779677985801918,19.7694202629494,5.45997474977929e-87,2.69449753901608e-84,"ImpL2","chr3L"
1114.33668561658,-2.00279348165088,0.103996830175351,-19.258216604044,1.20456285174076e-82,5.63164832211219e-80,"CG42613","chr3R"
2093.22865951918,1.66516244682601,0.0875063874789075,19.029038848477,9.80343108679302e-81,4.35419391719912e-78,"NTPase","chr2L"
4620.19172096971,-1.81376667720641,0.0960302427689419,-18.8874527951628,1.44659541336392e-79,6.11909859852937e-77,"DnaJ-1","chr3L"
878.850656080785,2.30751503598036,0.123916642068101,18.6215103755976,2.15061910638204e-77,8.6836134190871e-75,"CG11658","chr3L"
299.063813253035,-3.64726179808512,0.196303726920736,-18.5796869743478,4.69234165053187e-77,1.81226395137716e-74,"CG7120","chr3L"
